,passage_id,question,passage
0,1997_557_171,"Co jest zadaniem kuratora sądowego, a także innych osób, stowarzyszeń, organizacji i instytucji wykonujących dozór?","Art. 171. § 1. Kuratorami sądowymi są kuratorzy zawodowi i społeczni. § 2. Zadaniem kuratora sądowego, a także innych osób, stowarzyszeń, organizacji i instytucji wykonujących dozór jest pomoc w readaptacji społecznej skazanego. Kontrola ścisłego wykonywania przez skazanego nałożonych na niego obowiązków i poleceń ma na celu wychowawcze oddziaływanie i zapobieganie powrotowi do przestępstwa."
1,2001_1071_37,"Co jest zadaniem kuratora sądowego, a także innych osób, stowarzyszeń, organizacji i instytucji wykonujących dozór?","Art. 37. 1. Kurator okręgowy odpowiada przed prezesem sądu okręgowego za funkcjonowanie kuratorskiej służby sądowej w okręgu. Reprezentuje kuratorów sądowych wobec prezesa sądu okręgowego i organów kolegialnych sądu. 2. Do zakresu działania kuratora okręgowego w szczególności należy: 1) wykonywanie działań niezbędnych dla prawidłowego funkcjonowania kuratorskiej służby sądowej w okręgu, 2) koordynowanie działalności kuratorów sądowych na terenie swego działania, 3) reprezentowanie kuratorskiej służby sądowej na zewnątrz, 4) nadzór nad pracą kierowników zespołów kuratorskiej służby sądowej, 5) kontrola i ocena pracy kuratorów sądowych, aplikantów kuratorskich oraz przeprowadzanie wizytacji i lustracji; w uzasadnionych wypadkach dokonanie kontroli i oceny pracy kuratora lub aplikanta, kurator okręgowy może zlecić kierownikowi zespołu kuratorskiej służby sądowej, 6) udział w planowaniu i nadzór nad wydatkowaniem środków przeznaczonych dla kuratorów sądowych i ośrodków kuratorskich, 7) przygotowanie planu etatów kuratorskich i obsługi administracyjnej w okręgu oraz projektu rozdziału etatów pomiędzy poszczególne jednostki, 8) opiniowanie kandydatów na aplikantów kuratorskich, 9) występowanie z wnioskami kadrowymi dotyczącymi kuratorów zawodowych w okręgu, 10) nadzór merytoryczny nad ośrodkami kuratorskimi, 11) organizowanie szkoleń kuratorów zawodowych w okręgu, 12) nadzór nad udzielaniem pomocy postpenitencjarnej, 13) określanie szczegółowych zakresów obowiązków zastępcy kuratora okręgowego, oraz kierowników zespołów kuratorskiej służby sądowej i przedstawianie ich do zatwierdzenia prezesowi sądu okręgowego, 14) rozpoznawanie skarg i wniosków dotyczących czynności kuratorów sądowych w okręgu, 15) wykonywanie innych czynności zleconych przez prezesa sądu okręgowego."
2,2001_1071_41,"Co jest zadaniem kuratora sądowego, a także innych osób, stowarzyszeń, organizacji i instytucji wykonujących dozór?","Art. 41. 1. Do obowiązków kierownika zespołu należy wykonywanie działań niezbędnych dla prawidłowego funkcjonowania kuratorskiej służby sądowej w zakresie działań zespołu, a w tym: 1) koordynowanie zadań kuratorów zespołu, 2) udział w planowaniu i nadzór nad wydatkowaniem środków finansowych przeznaczonych dla kuratorów sądowych, 3) przedstawianie kuratorowi okręgowemu wniosków i opinii dotyczących awansowania kuratorów zawodowych zatrudnionych w zespole oraz w zakresie zatrudniania kandydatów do pracy, 4) opiniowanie wniosków zawodowych kuratorów sądowych dotyczących ich przeniesienia, 5) określanie zakresu obowiązków kuratorów zawodowych zespołu, 6) organizowanie działalności kuratorów społecznych, 7) przedstawianie prezesowi sądu rejonowego wniosków o powołanie i odwołanie kuratorów społecznych, 8) przeprowadzanie szkoleń kuratorów społecznych, 9) zatwierdzanie wniosków dotyczących ryczałtów kuratorów sądowych, 10) nadzorowanie terminowości wykonywania obowiązków przez kuratorów sądowych, 11) wyznaczanie patronów dla aplikantów kuratorskich, 12) sporządzanie sprawozdań i informacji o działalności zespołu, 13) nadzorowanie obsługi biurowej zespołu, 14) reprezentowanie zespołu na zewnątrz, 15) współdziałanie z prezesem sądu rejonowego. 2. Kierownik zespołu wykonuje obowiązki kuratora w wymiarze umożliwiającym należyte wykonywanie zadań, o których mowa w ust. 1."
3,2001_1071_51,"Co jest zadaniem kuratora sądowego, a także innych osób, stowarzyszeń, organizacji i instytucji wykonujących dozór?","Art. 51. Do zadań okręgowego zgromadzenia kuratorów należy: 1) wybór członków sądu dyscyplinarnego pierwszej instancji, 2) wybór kandydata na członka sądu dyscyplinarnego drugiej instancji, 3) wybór rzecznika dyscyplinarnego, 4) zgłaszanie kandydata na członka komisji egzaminacyjnej, o której mowa w art. 78, 5) wyrażenie opinii w przedmiocie odwołania kuratora okręgowego, 6) wysłuchanie informacji kuratora okręgowego o działalności kuratorskiej służby sądowej i wyrażenie opinii w tym zakresie, 7) wyrażenie opinii w sprawach osobowych kuratorów zawodowych, przedstawionych przez kuratora okręgowego i Ministra Sprawiedliwości, 8) występowanie do Ministra Sprawiedliwości o podjęcie niezbędnych działań dotyczących funkcjonowania kuratorskiej służby sądowej. Rozdział 5 Odpowiedzialność porządkowa i dyscyplinarna kuratorów zawodowych"
4,1999_930_36,"Jakie działania może powziąć sąd, aby nadzwyczajnie złagodziić karę?","Art. 36. § 1. Stosując nadzwyczajne złagodzenie kary, sąd może: 1) wymierzyć karę ograniczenia wolności, jeżeli przestępstwo skarbowe jest zagrożone karą pozbawienia wolności; przepis art. 26 § 2 stosuje się, 2) odstąpić od wymierzenia kary i orzec środek karny wymieniony w art. 22 ' 2 pkt 2, 3, 5 i 6, 3) odstąpić od wymierzenia środka karnego, chociażby jego orzeczenie było obowiązkowe; przepis art. 19 § 3 zdanie drugie stosuje się. § 2. Jeżeli w związku z przestępstwem skarbowym nastąpiło uszczuplenie lub narażenie na uszczuplenie należności publicznoprawnej i przed wydaniem wyroku należność ta została w całości uiszczona, nadzwyczajne złagodzenie kary może polegać na orzeczeniu tylko kary grzywny w wysokości nieprzekraczającej połowy górnej granicy ustawowego zagrożenia przewidzianego za przypisane sprawcy przestępstwo, co nie stoi na przeszkodzie orzeczeniu środków karnych wymienionych w art. 22 § 2 pkt 2, 3, 5 i 6 przewidzianych za to przestępstwo. § 3. Sąd może zastosować nadzwyczajne złagodzenie kary, a nawet może warunkowo zawiesić jej wykonanie w stosunku do sprawcy współdziałającego z inną osobą w popełnieniu przestępstwa skarbowego, jeżeli ujawni on wobec organu ścigania informacje dotyczące osób uczestniczących w popełnieniu przestępstwa skarbowego oraz istotne okoliczności jego popełnienia."
5,1999_930_172,"Jakie działania może powziąć sąd, aby nadzwyczajnie złagodziić karę?","Art. 172. § 1. Nakazem karnym można orzec za przestępstwo skarbowe karę grzywny przewidzianą w art. 23 § 2 albo karę ograniczenia wolności, a za wykroczenie skarbowe - karę grzywny przewidzianą w art. 48 § 3. § 2. Obok kary określonej w § 1 można, w wypadkach przewidzianych w kodeksie, orzec przepadek przedmiotów oraz ściągnięcie równowartości pieniężnej przepadku przedmiotów. § 3. Sąd może poprzestać na orzeczeniu środków karnych, o których mowa w § 2, jeżeli zachodzą warunki orzeczenia tylko tych środków. DZIAŁ VI Postępowanie w stosunku do nieobecnych Rozdział 19 Przesłanki"
6,1997_555_597,"Jakie działania może powziąć sąd, aby nadzwyczajnie złagodziić karę?","Art. 597. W razie zastrzeżenia przy wydaniu, że w stosunku do osoby wydanej orzeczone już kary będą wykonane tylko za te przestępstwa, co do których nastąpiło wydanie, sąd, który prawomocnie orzekł w sprawie, wydaje w razie potrzeby na posiedzeniu wyrok zmieniający orzeczenie w taki sposób, aby kary były wykonywane tylko za te przestępstwa, co do których nastąpiło wydanie sprawcy."
7,1997_557_177,"Jakie działania może powziąć sąd, aby nadzwyczajnie złagodziić karę?","Art. 177. W sprawach związanych z wykonywaniem orzeczenia o warunkowym umorzeniu postępowania karnego właściwy jest sąd, który w danej sprawie orzekał w pierwszej instancji, jednakże w stosunku do osoby oddanej pod dozór, w kwestiach dotyczących wykonania tego środka oraz obowiązków związanych z okresem próby właściwy jest sąd rejonowy, w którego okręgu dozór jest lub ma być wykonywany. Oddział 3 Warunkowe zawieszenie wykonania kary"
8,1997_553_328,Wobec kogo sąd może orzec obniżenie stopnia wojskowego albo degradację?,"Art. 328. Sąd może orzec obniżenie stopnia wojskowego albo degradację tylko wobec osoby, która w chwili popełnienia czynu zabronionego była żołnierzem, chociażby przestała nim być w chwili orzekania."
9,1997_944_18,Wobec kogo sąd może orzec obniżenie stopnia wojskowego albo degradację?,"Art. 18. 1. Żołnierz ponosi odpowiedzialność dyscyplinarną również za: 1) czyny, za które, w myśl odrębnych przepisów, właściwe organy są uprawnione do nakładania kar porządkowych lub wymierzania kar pieniężnych albo orzekania w sprawach o naruszenie dyscypliny budżetowej, 2) czyny o znamionach przestępstwa ściganego na wniosek dowódcy jednostki wojskowej, jeżeli uprawniony dowódca odstąpił od złożenia wniosku, 3) czyny o znamionach przestępstwa lub wykroczenia, jeżeli sąd, prokurator albo inny organ uprawniony do orzekania w tych sprawach wystąpił do dowódcy jednostki wojskowej z wnioskiem o ukaranie dyscyplinarne w związku z odmową wszczęcia postępowania karnego albo postępowania w sprawie o wykroczenie, umorzeniem albo warunkowym umorzeniem takiego postępowania, odstąpieniem od wymierzenia kary, jak również odstąpieniem od zastosowania środków wychowawczych lub poprawczych. 2. Ilekroć w dalszych przepisach jest mowa ogólnie o przewinieniu dyscyplinarnym, to przepisy te stosuje się również do czynów, o których mowa w ust. 1."
